date,settle,pre_cur_linear,pre_five_linear,pre_ten_linear,pre_cur_nlinear,pre_five_nl,pre_ten_nlinear
6/27/11,644.25,237.1038067,236.5634003,235.4622163,5.695098074,5.693960842,5.693106439
6/28/11,670,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
6/29/11,678,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
6/30/11,648,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
7/1/11,606.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
7/5/11,625.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
7/6/11,618.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
7/7/11,625,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
7/8/11,642.25,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
7/11/11,643,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
7/12/11,664,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
7/13/11,686.75,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
7/14/11,690.75,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
7/15/11,701.25,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
7/18/11,696.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
7/19/11,698,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
7/20/11,688,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
7/21/11,679.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
7/22/11,690,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
7/25/11,678.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
7/26/11,689.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
7/27/11,691.5,443.7073891,441.9779868,439.4631903,6.045740253,6.0424667,6.038406429
7/28/11,682.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
7/29/11,665.5,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
8/1/11,681.25,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
8/2/11,715.75,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
8/3/11,713,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/4/11,701.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/5/11,703,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/8/11,686,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/9/11,688.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/10/11,688.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/11/11,714,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/12/11,714.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
8/15/11,720,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
8/16/11,727.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/17/11,725.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/18/11,713,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/19/11,725.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/22/11,734.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/23/11,743.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/24/11,743,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/25/11,743.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/26/11,767,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
8/29/11,770,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/30/11,775.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
8/31/11,767.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
9/1/11,738.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
9/2/11,760,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
9/6/11,755.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
9/7/11,748,284.9362806,283.5514064,283.0374494,5.713827762,5.711534437,5.710594706
9/8/11,734,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
9/9/11,736.5,333.1296421,332.3234631,330.0646266,5.819540463,5.818389825,5.812333439
9/12/11,745.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
