"","date","retweet","favorite","score","type","settle"
"310","02/01/12",0,0,2,"Neutral",642
"311","02/02/12",0,0,1,"Negative",649.5
"312","02/03/12",1,1,2,"Neutral",650.75
"313","02/06/12",1,0,2,"Neutral",651.25
"314","02/07/12",0,0,1,"Negative",648.5
"315","02/08/12",0,0,3,"Positive",648
"316","02/09/12",0,0,2,"Neutral",641.5
"317","02/10/12",0,0,2,"Neutral",635.5
"318","02/13/12",0,0,1,"Negative",643
"319","02/14/12",1,0,1,"Negative",638
"320","02/15/12",0,0,2,"Neutral",631
"321","02/16/12",0,0,1,"Negative",639.75
"322","02/17/12",0,0,2,"Neutral",645.25
"323","02/21/12",0,0,3,"Positive",633.5
"324","02/22/12",1,1,2,"Neutral",641.25
"325","02/23/12",0,0,2,"Positive",642.5
"326","02/24/12",0,0,2,"Neutral",644
"327","02/27/12",0,0,2,"Neutral",648.5
"328","02/28/12",0,0,1,"Negative",657.25
"329","02/29/12",0,0,1,"Negative",658
"330","03/01/12",0,0,1,"Negative",654
"331","03/02/12",0,0,2,"Neutral",655
"332","03/05/12",0,0,1,"Negative",660.75
"333","03/06/12",0,0,2,"Positive",654
"334","03/07/12",0,0,1,"Negative",638.75
"335","03/08/12",0,0,1,"Negative",635.5
"336","03/09/12",0,0,1,"Negative",645
"337","03/12/12",1,0,2,"Positive",659.5
"338","03/14/12",0,0,2,"Neutral",658.75
"339","03/15/12",0,0,1,"Negative",669
"340","03/19/12",0,0,1,"Negative",663.5
"341","03/20/12",0,0,2,"Neutral",647.5
"342","03/21/12",0,0,2,"Neutral",642
"343","03/22/12",0,0,1,"Negative",644.5
"344","03/23/12",0,0,1,"Negative",646.5
"345","03/26/12",0,0,2,"Neutral",637.75
"346","03/27/12",0,0,2,"Neutral",630.75
"347","03/28/12",0,0,2,"Neutral",620.25
"348","03/29/12",0,0,1,"Negative",604
"349","03/30/12",0,0,2,"Neutral",644
"350","04/02/12",1,0,1,"Negative",655
"351","04/03/12",0,0,2,"Neutral",653
"352","04/04/12",0,0,2,"Neutral",650.75
"353","04/05/12",0,0,2,"Neutral",652.25
"354","04/09/12",0,0,2,"Neutral",641.25
"355","04/10/12",0,0,1,"Negative",625.75
"356","04/11/12",0,0,1,"Negative",627
"357","04/12/12",1,0,2,"Neutral",629
"358","04/13/12",0,0,1,"Negative",620.75
"359","04/16/12",0,0,1,"Negative",613.25
"360","04/17/12",0,0,2,"Neutral",607.25
"361","04/18/12",0,0,1,"Negative",594
"362","04/19/12",0,0,2,"Neutral",612
"363","04/20/12",0,0,2,"Neutral",603
"364","04/23/12",0,0,2,"Neutral",612.5
"365","04/24/12",0,0,1,"Negative",608
"366","04/25/12",1,0,1,"Negative",601
"367","04/26/12",0,0,1,"Negative",607.5
"368","04/27/12",2,0,2,"Neutral",625.5
"369","04/30/12",0,1,1,"Negative",634.25
"370","05/01/12",0,0,2,"Neutral",629
"371","05/02/12",0,0,1,"Negative",611.5
"372","05/03/12",1,0,2,"Neutral",614.5
"373","05/04/12",0,0,2,"Neutral",620.25
"374","05/07/12",1,0,2,"Neutral",620
"375","05/08/12",0,0,2,"Neutral",623
"376","05/09/12",2,1,1,"Negative",607.25
"377","05/10/12",1,0,1,"Negative",587.5
"378","05/11/12",0,0,1,"Negative",581
"379","05/14/12",0,0,1,"Negative",583
"380","05/16/12",0,0,2,"Neutral",620
"381","05/17/12",0,0,3,"Positive",625
"382","05/18/12",0,0,2,"Neutral",635.5
"383","05/21/12",0,0,1,"Negative",633
"384","05/22/12",0,0,2,"Neutral",597
"385","05/23/12",1,0,2,"Neutral",603.5
"386","05/24/12",2,0,2,"Neutral",578.5
"387","05/25/12",0,0,1,"Negative",578.5
"388","05/29/12",0,0,1,"Negative",562.5
"389","05/30/12",0,0,1,"Negative",559.5
"390","05/31/12",0,0,2,"Neutral",555.25
"391","06/01/12",0,0,1,"Negative",551.5
"392","06/04/12",1,1,1,"Negative",527.5
"393","06/05/12",2,0,2,"Neutral",516
"394","06/06/12",0,0,2,"Neutral",527.5
"395","06/07/12",1,1,2,"Neutral",543
"396","06/08/12",0,0,2,"Neutral",551
"397","06/11/12",0,0,1,"Negative",540.5
"398","06/12/12",0,0,1,"Negative",526.5
"399","06/13/12",0,0,1,"Negative",515
"400","06/14/12",0,0,1,"Negative",520.75
"401","06/15/12",0,0,1,"Negative",509.5
"402","06/18/12",2,0,2,"Neutral",537
"403","06/19/12",1,0,1,"Negative",567.5
"404","06/20/12",1,1,1,"Negative",568.75
"405","06/21/12",0,0,3,"Positive",550.25
"406","06/22/12",0,0,3,"Positive",551.25
"407","06/25/12",0,0,2,"Neutral",591.25
